제목,저자,역자,출간일,페이지수,판매가
"IT CookBook, 4차 산업혁명과 정보통신의 이해","김정섭, 이호상, 양인창",-,2023-01-02,448,"25,000"
"IT CookBook, C# 프로그래밍 2판",윤인성,-,2023-01-02,580,"26,000"
"IT CookBook, 게임 제작으로 배우는 유니티","이종원, 정종필",-,2023-01-02,496,"30,000"
"IT CookBook, 난생처음 R 코딩 & 데이터 분석","오세종, 신현석",-,2023-01-02,496,"25,000"
"IT CookBook, 난생처음 인공지능 with 스크래치",고광일,-,2023-01-02,364,"23,000"
"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",김명호,-,2023-01-02,460,"23,000"
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태, 박길철",-,2023-01-02,516,"29,000"
"IT CookBook, 파이썬으로 만드는 인공지능","오일석, 이진선",-,2023-01-02,608,"31,000"
"IT CookBook, 핵심이 보이는 전자기학",김성중,-,2023-01-02,548,"28,000"
"Statics and Mechanics of Materials, 3rd Edition","Ferdinand Beer, E. Johnston, John DeWolf, David Mazurek",-,2023-01-02,864,"45,000"
"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",이지영,-,2023-01-02,440,"28,000"
"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",김동명,-,2023-01-02,688,"38,000"
"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",우종정,-,2023-01-02,780,"29,000"
포르잔 C++ 에센셜,"Behrouz A. Forouzan, Richard F. Gilberg",윤인성,2023-01-02,756,"32,000"
플랫폼 비즈니스를 위한 경영정보시스템,"정창근, 김종락, 김시영",-,2023-01-02,522,"29,000"
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연,-,2023-01-02,536,"28,000"
뉴 머신시대의 기업가정신을 찾아서,이건창,-,2023-01-02,180,"18,000"
세계화와 지역화 : 한국의 선택은?,황해두,-,2023-01-02,256,"17,000"
포르잔 C++ 바이블,"Behrouz A. Forouzan, Richard F. Gilberg",윤인성,2023-01-02,1192,"45,000"
4차산업혁명시대의 창업실무,"조보상, 윤두열",-,2023-01-02,468,"28,000"
딥러닝을 위한 선형대수학,Gilbert Strang,부산대학교 산업수학센터(FFMIMC),2023-01-02,560,"38,000"
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창, 남송휘, 이현룡",-,2023-01-02,600,"29,000"
대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명,-,2023-01-02,216,"18,000"
"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼,-,2023-01-02,448,"28,000"
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코, 이와마 노리카즈, 스즈키 마사유키",권기태,2023-01-02,544,"32,000"
창의적 공학설계(3판),김은경,-,2023-01-02,408,"23,000"
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우,-,2023-01-02,484,"23,000"
