plylstSeq,title,tag,like,songIds
432667379,잔잔한 피아노 연주로 듣는 드라마 영화 OST, #피아노연주곡 #OST #드라마 #가을 #영화 #잔잔한 #힐링 ,1497,30509345 4379708 31311790 4379692 31682472 32015963 31693642 31406373 31449565 31374699 31684186 32212082 31498551 31358869 5689258 31374690 31587486 30033803 31558788 31450687 8004256 30293147 30307686 30226263 30498073 8305018 4379705 30509344 30233953 30519328 31011250 5689260 30498116 30227583 31374700 31135656 31203942 31256705 31661801 31846171 30372608 31237364 32171278 31245564 30760244 31135644 31450643 30968244 30414647 30494758
516012795,K팝 X 락사운드 필승조합, #여름 #가을 #겨울 #아이돌 #록메탈 #록 #신나는 #드라이브 #K팝록 #국내록 ,206,7877917 2140978 36467384 36342419 35729106 34978551 31093710 33527705 34270805 36464753 32061979 32464068 31561972 3705305 36371558 30992040 33650729 4727318 35844972 36356993 32345931 1368412 32061978 3600225 35223431 32586850 34270806 2226049 5775888 8141272 32038651 35825592 9601082 32183386 34819474 8186355 34930368 34561032 35867428 34187869 34101563 3850235 36036323 31608592 34140616 3565240 36356998 4089360 2015662 30399493
525047676,IVE (아이브), #IVE #아이브 #안유진 #가을 #레이 #장원영 #리즈 #이서 ,5,34349914 34349913 34847378 34847379 35546497 35546498 35646683 35730694 35730693 36040385 36357000 36356992 36356998 36356994 36318125 36356995 36356993 36357001 36356996 36356999 36356997 36427843
504792769,찬란한 계절 사랑과 이별의 모든 날 모든 순간, #사랑 #연애 #봄 #여름 #가을 #겨울 #감성 #윤하 #이별 #발라드 ,133,36431069 35963098 35874233 35848967 35695787 36296186 36405645 35669445 36393049 35932815 36242216 36467863 35931536 35959870 35891304 36215517 36082135 36025626 35936071 35918463 35929616 35730689 35859562 35708237 35848888 35869352 35828607 35828633 35695016 35795286 35707232 35537291 35493838 35534655 35504741 35411201 35383398 35359429 35255621 35222505 35177018 35060828 34978706 34827789 34810973 34779651 34770134 34774431 34726070 34695599
516743798,성수동 힙한 카페에서 들려오는 감성 충만한 Pop, #카페 #가을 #감성 #주말 #기분전환 #매장음악 #분위기 ,124,5544182 35821473 36357703 36452490 33523541 35266864 34845243 33436012 32098523 34205533 34531741 32392747 33682575 32604377 35079323 31879058 106435724 32827656 35822464 35671641 32158135 32709799 32587933 33307010 34528324 31978075 35499539 33359316 33517708 33502105 33220547 31613354 30939865 33510657 34967611 33128402 32319964 34898965
520384999,대형신인이자 4세대 대표 대상 걸그룹 *IVE(아이브)* PLAYLIST, #아이브 #IVE #대상돌 #신인상대상 #안유진 #장원영 #가을 #레이 #리즈 #이서 ,50,36356992 36356993 36356994 36356995 36356996 36356997 36356998 36356999 36357000 36357001 36318125 35546497 34847378 34349913 35546498 34847379 34349914 36427843 36040385 35646683 35730694 35730693
464364666,펑펑 울고 싶은 날 들어요. 이별을 노래한 잔잔한 발라드, #이별 #발라드 #가을 #슬픈 #기분전환 #매장 #매장음악 #카페 #휴식 #인디 ,2584,31984206 30810055 4616190 30690674 30051511 30868628 4833732 30755375 30140001 31988547 8298724 5549391 31414789 31412486 30849733 30883184 30736685 7935505 31278783 5620735 30120986 4833735 30034441 31595599 8284955 31883558 32007215 31034302 7948056 3620497 30043155 5506296 32028159 8235260 31582380 32000761 3620493 30844886 5458267 31172274 866706 31375214 30868631 30149376 30301700 31388145 30142569 31960759 8217302 3417570
499771198,Study playlist, #시험기간 #지칠때 #기분전환 #잔잔한 #가을 ,14,32741360 34140793 34687593 35340833 34573826 32441416 32793378 32825803 32709799 30729257 32709797 32707527 32668777 33068097 32655041 32709798 33829017 31592053 31889596 32076104 33160676 33277641 32563534 33241149 32991424 356530 33111328 33059002 32944191 33310518 31978115 32420293 32478406 106783710
460839330,"살다가 한 번쯤 겪는 이야기, 이별 발라드.", #발라드 #이별 #감성 #추억 #가을 #잔잔한 #비오는날 #슬픔 #눈물 #sweetmind ,5503,34622559 34598904 34598944 34513916 34465082 34305937 34260339 34312304 34298108 34190821 34154224 34097257 34063298 33966158 33964499 33976349 33832659 33659368 33618271 33632966 33624574 33795397 33628470 33507460 33408379 33463209 33421275 33411426 33406812 33346996 33265859 33161013 33164083 33720891 33218129 33266120 33296089 33382262 33391755 33403026 33303943 33280716 33228184 33227608 33228736 33223396 33227343 33167083 33152647 32974583
401740766,"가을날, 선선한 바람과 감성영화 OST", #가을 #OST #감성 #나른한 #편안한 #추억 #Pop #영화 ,11250,4743560 4781065 30102883 31368733 31338894 1698475 31987676 383901 4743561 1804082 273576 31368743 1586029 4477140 1583299 30869912 30486480 31338917 1739602 18611 4368442 30801603 842115 7920914 4743562 30833392 31759183 3637278 31170730 5629279 8100244 4075501 8148626 7842239 1763981 627103 30693235 4649669 4477136 30241422 411791 617525 397708 4563245 8148629 1813048 1739613 2527149 1048016 31709153
